UGB,Empreendimento,FASE,Etapa,% concluído,Nome da tarefa,Iniciar,Terminar
CA,AMO-F1,ENG.PROD,PROJ-EXEC,0.0,PE - ELE - ER / IP INC,2025-10-24 08:00:00,2025-11-06 16:59:59
CA,AMO-F1,ENG.PROD,PL-ER-E-IP,0.006,PL - ELE - IP COND,2024-12-10 08:00:00,2025-06-10 16:59:59
CA,AMO-F1,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP INC,2025-11-07 08:00:00,2025-12-11 16:59:59
CA,AMO-F1,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP INC,2025-11-07 08:00:00,2025-12-11 16:59:59
CA,AMO-F1,SUP.,SUP,0.0,SUPRIMENTOS,2025-07-30 08:00:00,2026-04-26 16:59:59
CA,AMO-F1,INFRA,EXECUÇÃO-TER,0.0,EXECUÇÃO,2025-08-27 08:00:00,2025-12-16 16:59:59
CA,AMO-F1,EXEC.,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,2025-10-31 08:00:00,2025-11-06 16:59:59
CA,AMO-F1,INFRA,EXECUÇÃO-ER,0.0,EXECUÇÃO ER,2026-02-03 08:00:00,2026-06-08 16:59:59
CA,AMO-F1,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS,2026-07-13 08:00:00,2026-07-17 16:59:59
CA,AMO-F1,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO IP,2026-06-09 08:00:00,2026-06-29 16:59:59
CA,AMO-F1,LEG.,APROV-ER-(NEO),0.0026,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) - FUSE,2025-06-06 08:00:00,2025-10-23 16:59:59
CA,AMO-F1,LEG.,SOLIC-CONEXÃO,0.0,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-11-07 08:00:00,2025-11-07 16:59:59
CA,AMO-F1,LEG.,CONEXÃO,0.0,CONEXÃO,2025-11-10 17:00:00,2026-06-19 16:59:59
CA,AMO-F1,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,2026-05-26 08:00:00,2026-07-10 16:59:59
CA,AMO-F1,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2026-07-20 08:00:00,2026-09-04 16:59:59
CA,AMO-F1,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-08-31 08:00:00,2026-10-08 16:59:59
